Palabra Original,Traducción
anotación automática,automatic annotation
inteligencia ambiental,environmental intelligence
"""sector financiero""","""financial sector"""
microsistemas,microsistemas
polinomios ortogonales,orthogonal polynomials
series fraccionales,fractional series
personal broadcasting,personal broadcasting
predicción viento,wind prediction
globalización,globalization
planificación temporal,temporal planning
gestión algorítimica,algorithmic management
sociedad de naciones,society of nations
cooperación intelectual,intellectual cooperation
diplomacia cultural,cultural diplomacy
instituciones científicas,scientific institutions
ciudad universitaria de,university city of
industria conectada,connected industry
open platform,open platform
interfases,interfaces
calidad de servicio,quality of service
movilidad residencial,residential mobility
vehículos electricos,electric vehicles
gobierno corporativo,corporate governance
redes de sensores corporales,body sensor networks
pruebas feast,feast tests
concrete,concrete
vigas sandwich,sandwich beams
wp3,wp3
mobile networks o-ran artificial intelligence,mobile networks o-ran artificial intelligence
condition monitoring,condition monitoring
nubes,clouds
aceros inoxidables martensiticos,Martensitic stainless steels
álgebra tropical,tropical algebra
cognición y percepción,cognition and perception
miniaturización,miniaturization
museum visits,museum visits
pyrolysis,pyrolysis
arte español,spanish art
muestreo generalizado,generalized sampling
modelos de atribución,attribution models
optical enabled radio systems,optical enabled radio systems
ingeniería biomédica,biomedical engineering
materiales,materials
quasi-foam structure,quasi-foam structure
control en tiempo real,real time control
smartphone,smartphone
nuevo diseño de lecho fluidizado,new fluidized bed design
trusted supply chains,trusted supply chains
programación televisiva,television programming
biblioteca,library
mitología griega,Greek mythology
renewable energy sources,renewable energy sources
6g fronthaul,6g fronthaul
cohesión territorial,territorial cohesion
record matching,record matching
soft power,soft power
electroluminiscente,electroluminiscente
multimodalidad,multimodality
human action recognition,human action recognition
industrial engagement,industrial engagement
capacidad juridica,juridical capacity
lengua de signos,sign language
nanoscale imaging,nanoscale imaging
mercados en red,network markets
ontological turn,ontological turn
estimación econométrica,econometric estimation
algoritmos de alta precisión,high precision algorithms
colusión comunicación incentivos corporativos multas,collusion communication corporate incentives fines
efectos de información,information effects
datos de panel,panel data
economía de la inmigración,immigration economics
ratio de varianzas,variance ratio
photonics,photonics
retos,straight
personalización,personalization
oposiciones,oppositions
catedráticos,professors
técnicas de identificación,identification techniques
corrientes eddy,eddy currents
reconfigurable hardware,reconfigurable hardware
espaciales y networks,spatial and networks
conmutadores ópticos,optical switches
valoración,valuation
gestión de organizaciones,organization management
moodle,moodle
digital control dc-dc,digital control dc-dc
segunda generación,second generation
mercados eléctricos,electricity markets
partidos,parties
maquinas de vectores soporte,support vector machines
tensiones térmicas,thermal stresses
automated software testing,automated software testing
derecho internacional económcio,international economic law
historia clínica electrónica,electronic medical record
switch,switch
european television,european television
por culpa presunta,for alleged fault
seguridad social.,social Security.
sistemas de la aeronave,aircraft systems
superconductor de alta temperatura,high temperature superconductor
biblioteconomía,librarianship
micro-canales,micro-channels
insulating and assembling by means of the laser technologies,insulating and assembling by means of the laser technologies
crt.,crt.
sistemas de localización,location systems
incidencias vías de comunicación,communication routes incidents
tecnologías de balizamiento,beacon technologies
servicios a la ciudadanía,citizen services
cooperación de drones,drone cooperation
basura espacial (space debris),space debris
microwave photonics,microwave photonics
modelos probabilísticos,probabilistic models
teatro,theater
recursos naturales,natural resources
grig and cluster computing. storage systems,grig and cluster computing. storage systems
simulación avanzada,advanced simulation
sonda rogowski,Rogowski probe
malware,malware
contexto,context
performances,performances
geopolítica,geopolitics
cambio structural,structural change
genodermatosis,genodermatosis
aplicaciones móviles,mobile apps
communication theory,communication theory
gestión del agua,Water management
fondos de inversión,investment funds
modelos stochasticos dinamicos para la union europea,Dynamic stochastic models for the European Union
metodos econometricos,econometric methods
phased arrays,phased arrays
ecuaciones en derivadas parciales,partial differential equations
terapias avanzadas,advanced therapies
cometa,comet
celular,cell phone
business models,business models
servicio de estudio,study service
red española de archivos y colecciones de media art,Spanish network of media art archives and collections
low power,low power
delaminación,delamination
ods 5,ods 5
guía de ondas,Waveguide
no lineal,nonlinear
políticas contra exclusión social,policies against social exclusion
spocs,spocs
pohybrid,pohybrid
almacenamiento de energía a alta temperatura,high temperature energy storage
poesía,poetry
estadística avanzada,advanced statistics
estructuras,structures
tecnología de vídeo,video technology
efectos causales,causal effects
reparto del tiempo,time distribution
oferta trabajo,offer work
modelos no lineales,nonlinear models
cataluña,Catalonia
ébola,ebola
collective bargaining,collective bargaining
cost- energy-effective,cost- energy-effective
investments,investments
seguro,safe
sistemas centrales de información,central information systems
mediación,mediation
internet communication networks,internet communication networks
instituto de la mujer,women's institute
traffic management,traffic management
sistemas de ecuaciones,ecuation systems
control de trafico aereo,air traffic control
taladrado,boring
citizen: academia and industry engagement,citizen: academia and industry engagement
problemas no lineales,nonlinear problems
materiales aislantes,Insulating materials
1800-1936,1800-1936
redes multisalto inalámbricas,wireless multihop networks
rendimiento térmico,thermal performance
aptámeros,aptamer
software defined networks,software defined networks
